bot,comment,server_name,namespace,timestamp,title,type,user,wiki,log_type,minor,length_old,length_new
False,Undid revision 988868375 by [[Special:Contributions/Tbhotch|Tbhotch]] ([[User talk:Tbhotch|talk]]) misclicked,en.wikipedia.org,0,1605467114,Santiago Metro,edit,Tbhotch,enwiki,unknown,False,51413,51438
False,/* 2020 */ Added Belarus result.,en.wikipedia.org,0,1605467114,Lithuania national football team results,edit,SteveMc25,enwiki,unknown,False,103334,103504
False,/* Extended-confirmed-protected edit request on 15 November 2020 */,en.wikipedia.org,1,1605467107,Talk:Antifa (United States),edit,Wikieditor19920,enwiki,unknown,False,257927,259182
False,/* The Great Migration and an increase in crime in Northern US cities? */,en.wikipedia.org,4,1605467115,Wikipedia:Reference desk/Humanities,edit,93.136.22.169,enwiki,unknown,False,112005,112473
False,,en.wikipedia.org,0,1605467117,Adam Silvera,edit,2804:7F7:A584:6D25:5CF0:8054:244:35AF,enwiki,unknown,False,6309,6330
False,"[[:Adam Silvera]] added to category, [[Special:WhatLinksHere/Adam Silvera|this page is included within other pages]]",en.wikipedia.org,14,1605467117,Category:Gay men,categorize,2804:7F7:A584:6D25:5CF0:8054:244:35AF,enwiki,unknown,unknown,-999,-999
False,/* Subsequent work */ ce,en.wikipedia.org,0,1605467121,Amy Sherald,edit,Innisfree987,enwiki,unknown,False,23495,23490
False,I’m not sure if you are still at your office today or not bye day,en.wikipedia.org,0,1605467124,The Official BBC Children in Need Medley,edit,2A02:C7F:583A:1E00:C0A8:7EBD:1132:1996,enwiki,unknown,False,18091,18111
False,,en.wikipedia.org,4,1605467127,Wikipedia:WikiProject Women in Red/Missing articles by occupation/Actresses,edit,Animalparty,enwiki,unknown,False,2330,2328
False,,en.wikipedia.org,0,1605467130,Chris Colfer,edit,2804:7F7:A584:6D25:5CF0:8054:244:35AF,enwiki,unknown,False,40543,40564
False,/* External links */,en.wikipedia.org,0,1605467130,Stay Hungry,edit,Dimadick,enwiki,unknown,False,12961,13004
False,"[[:Stay Hungry]] added to category, [[Special:WhatLinksHere/Stay Hungry|this page is included within other pages]]",en.wikipedia.org,14,1605467130,Category:Films scored by Byron Berline,categorize,Dimadick,enwiki,unknown,unknown,-999,-999
False,updated GBLA 4 result more results will be declared soon,en.wikipedia.org,0,1605467130,2020 Gilgit-Baltistan Assembly election,edit,Saad Ali Khan Pakistan,enwiki,unknown,True,35410,35579
False,"[[:Chris Colfer]] added to category, [[Special:WhatLinksHere/Chris Colfer|this page is included within other pages]]",en.wikipedia.org,14,1605467130,Category:Gay men,categorize,2804:7F7:A584:6D25:5CF0:8054:244:35AF,enwiki,unknown,unknown,-999,-999
False,/* External links */,en.wikipedia.org,0,1605467129,Ajaccio,edit,MirkoS18,enwiki,unknown,False,63637,63677
